219 C  96.10000 -470.40000  19.30000 19.000 
220 C  94.50000 -480.20000  19.30000 18.000 
221 C  96.10000 -490.10000  18.10000 19.000 
222 C  97.70000 -498.50000  17.70000 17.000 
223 C  99.90000 -510.00000  17.70000 19.000 
224 C 102.20000 -517.90000  17.70000 19.000 
225 C 104.30000 -531.50000  17.70000 18.000 
226 C 105.40000 -540.90000  15.90000 18.000 
227 C 106.50000 -547.60000  15.90000 16.000 
228 C 106.50000 -549.80000  15.90000 17.000 
229 C 108.90000 -559.60000  15.90000 21.000 
230 C 109.40000 -569.20000  15.90000 19.000 
231 C 111.80000 -574.70000  15.90000 16.000 
232 C 110.40000 -580.20000  15.90000 15.000 
233 C 112.10000 -589.00000  15.90000 19.000 
234 C 114.30000 -598.50000  16.30000 18.000 
235 B 114.30000 -604.80000  18.40000 20.000 
236 C 107.20000 -611.80000  18.40000 12.000 
237 C 107.20000 -615.40000  18.40000 12.000 
238 C 106.40000 -620.60000  18.40000 11.000 
239 C 100.70000 -631.40000  18.40000 12.000 
240 C 101.50000 -640.60000  20.80000 12.000 
241 C 101.50000 -645.80000  20.80000 12.000 
242 C 100.60000 -653.50000  18.70000 10.000 
243 C  95.80000 -672.80000  20.60000 10.000 
244 C  94.20000 -681.30000  23.40000  7.000 
245 C  90.20000 -696.10000  20.50000  8.000 
246 C  89.00000 -711.40000  23.40000 11.000 
247 B  88.20000 -718.20000  22.20000 11.000 
248 C  83.40000 -718.10000  21.30000  6.000 
249 C  76.40000 -722.60000  21.30000  6.000 
250 C  74.80000 -729.50000  16.50000  6.000 
251 C  71.30000 -729.30000  16.50000  6.000 
252 C  66.60000 -729.50000  17.80000  6.000 
253 C  61.00000 -729.70000  17.80000  6.000 
254 C  57.60000 -733.40000  15.10000  6.000 
255 C  55.20000 -728.50000  14.20000  5.000 
256 C  52.90000 -742.70000   7.70000  5.000 
257 C  49.90000 -742.10000   7.70000  5.000 
258 T  46.70000 -746.80000   8.00000  4.000 
259 C  90.70000 -737.40000  22.20000 10.000 
260 C  93.20000 -749.70000  24.40000  9.000 
261 C  93.20000 -752.70000  24.40000  9.000 
262 C  95.30000 -763.60000  24.40000  7.000 
263 C  92.90000 -771.00000  24.40000  9.000 
264 C  94.60000 -782.00000  24.40000  8.000 
265 C  92.50000 -792.60000  24.60000  7.000 
266 C  94.00000 -802.50000  26.60000  7.000 
267 C  93.40000 -817.10000  26.60000  7.000 
268 C  93.40000 -826.90000  21.10000  7.000 
269 C  94.00000 -839.50000  20.20000  7.000 
270 C  95.70000 -853.20000  18.80000  7.000 
271 C  95.70000 -862.70000  18.80000  7.000 
272 C  96.00000 -865.30000  18.80000  7.000 
273 C  98.50000 -882.90000  15.90000  7.000 
274 C  99.40000 -892.50000  17.50000  7.000 
275 C  99.40000 -904.00000  14.80000  7.000 
276 C  99.40000 -922.50000  14.20000  7.000 
277 C  99.50000 -930.50000  15.10000  7.000 
278 C 101.20000 -943.10000  13.40000  7.000 
279 B 102.90000 -960.30000  13.70000  7.000 
280 C 102.90000 -971.20000  14.50000  5.000 
281 C 102.90000 -976.00000  12.80000  5.000 
282 C 100.20000 -979.40000  11.10000  5.000 
283 C 101.90000 -986.30000   7.90000  6.000 
284 C  98.40000 -990.70000   4.90000  6.000 
285 C 100.20000 -995.00000   5.10000  5.000 
286 C  97.90000 -998.60000   1.90000  5.000 
287 C 100.80000 -1004.60000  -1.30000  5.000 
288 C  94.10000 -1013.90000  -1.30000  7.000 
289 B  93.00000 -1018.00000  -2.60000  7.000 
290 C  86.70000 -1018.90000  -3.00000  5.000 
291 C  81.90000 -1023.50000  -1.70000  5.000 
292 C  81.90000 -1025.80000  -1.70000  5.000 
293 C  77.10000 -1028.00000   3.30000  5.000 
294 C  73.60000 -1032.70000   4.00000  5.000 
295 C  69.60000 -1038.60000   4.00000  5.000 
296 C  66.70000 -1044.20000   4.00000  5.000 
297 C  63.70000 -1052.90000   4.00000  5.000 
298 C  60.30000 -1057.20000   4.00000  5.000 
299 C  56.60000 -1069.20000   4.00000  5.000 
300 C  51.40000 -1074.50000   4.00000  5.000 
301 C  51.40000 -1082.40000   4.00000  5.000 
302 C  45.90000 -1093.90000   8.20000  6.000 
303 C  41.10000 -1099.10000   6.30000  5.000 
304 C  39.80000 -1102.60000   6.30000  5.000 
305 C  30.10000 -1112.70000   6.30000  5.000 
306 C  23.50000 -1115.50000   6.30000  5.000 
307 C  15.10000 -1119.50000   6.30000  5.000 
308 C  13.80000 -1123.40000   6.30000  5.000 
309 C  10.20000 -1124.30000   6.30000  5.000 
310 C   3.30000 -1128.10000   4.80000  5.000 
311 B  -1.10000 -1135.30000   2.70000  5.000 
312 B -17.50000 -1140.50000   2.70000  5.000 
313 C -27.10000 -1143.00000   0.60000  4.000 
314 C -33.30000 -1148.20000   0.60000  4.000 
315 C -39.30000 -1148.20000   0.60000  4.000 
316 C -49.50000 -1153.00000  -1.00000  4.000 
317 T -57.80000 -1154.70000   1.60000  3.000 
318 C -29.50000 -1154.30000   2.70000  4.000 
319 C -37.80000 -1162.80000   2.70000  4.000 
320 T -46.70000 -1174.50000   3.70000  4.000 
321 C   2.00000 -1159.30000  -0.70000  4.000 
322 C   5.70000 -1166.90000  -2.60000  4.000 
323 C   5.70000 -1168.20000  -9.00000  4.000 
324 C   7.70000 -1168.20000  -9.00000  4.000 
325 C  11.20000 -1169.50000 -14.40000  4.000 
326 C   6.30000 -1169.40000 -10.80000  4.000 
327 C   1.60000 -1171.30000 -10.70000  4.000 
328 T  -1.90000 -1173.10000 -14.10000  4.000 
329 C  91.00000 -1027.20000  -5.90000  5.000 
330 C  87.70000 -1038.20000  -5.90000  5.000 
331 B  87.70000 -1045.50000  -3.00000  5.000 
332 C  87.70000 -1059.70000   6.60000  4.000 
333 C  85.30000 -1064.10000   8.10000  4.000 
334 C  87.10000 -1069.60000   8.10000  4.000 
335 C  82.40000 -1075.30000   8.40000  4.000 
336 C  81.50000 -1081.90000   8.40000  4.000 
337 C  78.10000 -1085.30000  13.70000  4.000 
338 C  78.10000 -1085.30000  13.80000  5.000 
339 C  76.20000 -1092.70000  13.70000  5.000 
340 C  69.50000 -1094.10000  13.70000  4.000 
341 C  57.40000 -1110.40000  13.70000  4.000 
342 C  52.60000 -1120.30000  13.70000  4.000 
343 C  51.50000 -1128.30000  13.70000  4.000 
344 C  46.80000 -1128.30000  16.00000  4.000 
345 C  46.40000 -1132.10000  16.00000  4.000 
346 C  39.60000 -1132.10000  16.00000  4.000 
347 C  36.90000 -1135.70000  16.00000  4.000 
348 C  33.80000 -1139.50000  16.00000  4.000 
349 C  31.50000 -1141.60000  16.00000  4.000 
350 C  31.50000 -1145.10000  16.00000  4.000 
351 C  30.70000 -1146.50000  16.00000  4.000 
352 C  30.70000 -1150.50000  16.00000  4.000 
353 C  27.90000 -1151.20000  16.00000  4.000 
354 C  27.90000 -1156.50000  16.00000  4.000 
355 T  26.00000 -1164.80000  14.40000  3.000 
356 C  90.80000 -1051.60000   1.80000  5.000 
357 C  90.80000 -1061.10000   5.50000  5.000 
358 C  92.90000 -1071.30000   8.80000  5.000 
359 C  89.00000 -1076.70000   6.60000  5.000 
360 C  89.00000 -1084.40000  10.10000  5.000 
361 C  89.00000 -1088.20000  13.00000  5.000 
362 C  88.60000 -1088.20000  13.00000  5.000 
363 C  88.60000 -1093.70000  13.00000  5.000 
364 C  86.60000 -1094.80000  13.00000  5.000 
365 C  89.10000 -1096.30000  14.80000  5.000 
366 C  89.10000 -1098.90000  14.80000  5.000 
367 C  87.20000 -1103.50000  14.80000  5.000 
368 C  87.20000 -1112.30000  14.40000  3.000 
369 C  87.20000 -1120.20000  15.50000  3.000 
370 C  92.10000 -1129.80000  18.90000  5.000 
371 C  93.80000 -1135.50000  25.80000  3.000 
372 T  93.80000 -1147.80000  29.80000  3.000 
373 C 107.60000 -963.40000  13.70000  3.000 
374 C 109.80000 -969.60000  13.70000  4.000 
375 C 114.60000 -979.30000  13.70000  4.000 
376 C 126.20000 -998.30000  13.70000  4.000 
377 C 134.00000 -1013.30000  15.60000  3.000 
378 C 139.30000 -1027.50000  15.60000  3.000 
379 C 149.20000 -1043.80000  12.20000  3.000 
380 C 158.00000 -1057.80000  12.20000  3.000 
